A	A 1177
or	or 3457
or _	or the 133	or a 124	or to 76	or two 71	or in 60	or even 46	or not 44	or so 41	or other 37	or more 36	or at 34	or less 32	or an 29	or and 25	or from 23	or if 23	or something 22	or by 21	or you 20	or is 19	or on 19	or three 19	or are 17	or for 17	or no 17	or she 17	or with 17	or any 16	or your 16	or her 15	or it 13	or of 13	or anything 12	or perhaps 12	or that 12	or what 12	or another 11	or as 11	or just 11
or _ _	or at least 16	or in the 16
or _ least	or at least 16
or _ the	or in the 16
or a	or a 124
or an	or an 29
or and	or and 25
or another	or another 11
or any	or any 16
or anything	or anything 12
or are	or are 17
or as	or as 11
or at	or at 34
or at _	or at least 16
or at least	or at least 16
or by	or by 21
or even	or even 46
or for	or for 17
or from	or from 23
or her	or her 15
or if	or if 23
or in	or in 60
or in _	or in the 16
or in the	or in the 16
or is	or is 19
or it	or it 13
or just	or just 11
or less	or less 32
or more	or more 36
or no	or no 17
or not	or not 44
or of	or of 13
or on	or on 19
or other	or other 37
or perhaps	or perhaps 12
or she	or she 17
or so	or so 41
or something	or something 22
or that	or that 12
or the	or the 133
or three	or three 19
or to	or to 76
or two	or two 71
or what	or what 12
or with	or with 17
or you	or you 20
or your	or your 16
orange	orange 18
order	order 191
order _	order to 85	order of 13
order of	order of 13
order to	order to 85
ordered	ordered 22
orders	orders 45
ordinary	ordinary 44
organ	organ 13
organic	organic 26
organisation	organisation 31
organisations	organisations 55
organise	organise 16
organised	organised 20
organisers	organisers 13
organization	organization 37
origin	origin 16
original	original 86
originally	originally 27
ornamental	ornamental 19
other	other 1101
other _	other than 33	other hand 24	other people 23	other words 23	other things 19	other and 14	other side 14	other end 13	other times 13	other in 11
other and	other and 14
other end	other end 13
other hand	other hand 24
other in	other in 11
other people	other people 23
other side	other side 14
other than	other than 33
other things	other things 19
other times	other times 13
other words	other words 23
others	others 190
otherwise	otherwise 57
ought	ought 23
ought _	ought to 23
ought to	ought to 23
our	our 584
our _	our own 32
our own	our own 32
ourselves	ourselves 42
out	out 1680
out _	out of 409	out the 102	out to 77	out and 68	out in 58	out a 44	out on 44	out for 37	out that 29	out by 27	out with 25	out at 23	out her 16	out there 16	out as 15	out from 15	out into 14	out how 12	out your 12	out their 11	out what 11
out _ _	out of the 139	out in the 18	out of his 16	out of a 15	out in a 12	out of it 12	out on the 12	out to be 12	out to the 12	out at the 11
out _ a	out of a 15	out in a 12
out _ be	out to be 12
out _ his	out of his 16
out _ it	out of it 12
out _ the	out of the 139	out in the 18	out on the 12	out to the 12	out at the 11
out a	out a 44
out and	out and 68
out as	out as 15
out at	out at 23
out at _	out at the 11
out at the	out at the 11
out by	out by 27
out for	out for 37
out from	out from 15
out her	out her 16
out how	out how 12
out in	out in 58
out in _	out in the 18	out in a 12
out in a	out in a 12
out in the	out in the 18
out into	out into 14
out of	out of 409
out of _	out of the 139	out of his 16	out of a 15	out of it 12
out of a	out of a 15
out of his	out of his 16
out of it	out of it 12
out of the	out of the 139
out on	out on 44
out on _	out on the 12
out on the	out on the 12
out that	out that 29
out the	out the 102
out their	out their 11
out there	out there 16
out to	out to 77
out to _	out to be 12	out to the 12
out to be	out to be 12
out to the	out to the 12
out what	out what 11
out with	out with 25
out your	out your 12
outcome	outcome 16
outlets	outlets 11
outline	outline 16
output	output 11
outside	outside 169
outside _	outside the 41
outside the	outside the 41
outsiders	outsiders 13
outstanding	outstanding 15
outwards	outwards 21
over	over 651
over _	over the 146	over to 43	over and 27	over a 25	over by 11
over a	over a 25
over and	over and 27
over by	over by 11
over the	over the 146
over to	over to 43
overall	overall 14
overcome	overcome 23
overhead	overhead 14
overnight	overnight 16
overseas	overseas 16
overwhelming	overwhelming 11
owe	owe 11
own	own 615
own _	own way 11
own way	own way 11
owned	owned 19
owner	owner 35
owners	owners 27
oxygen	oxygen 21
p	p 15
pace	pace 19
pack	pack 23
package	package 24
packed	packed 17
packet	packet 11
pad	pad 28
padded	padded 11
page	page 98
pages	pages 36
paid	paid 72
paid _	paid for 16
paid for	paid for 16
pain	pain 70
painful	painful 19
pains	pains 13
paint	paint 25
painted	painted 27
painter	painter 26
painters	painters 15
painting	painting 76
paintings	paintings 23
pair	pair 43
pair _	pair of 29
pair of	pair of 29
pale	pale 45
palm	palm 11
palms	palms 12
pan	pan 11
panel	panel 62
panels	panels 15
panic	panic 11
paper	paper 104
paper _	paper and 12
paper and	paper and 12
papers	papers 43
parallel	parallel 16
parents	parents 79
parish	parish 12
park	park 37
parked	parked 11
parking	parking 11
part	part 426
part _	part of 281	part in 33
part _ _	part of the 144	part of a 31	part in the 11
part _ a	part of a 31
part _ the	part of the 144	part in the 11
part in	part in 33
part in _	part in the 11
part in the	part in the 11
part of	part of 281
part of _	part of the 144	part of a 31
part of a	part of a 31
part of the	part of the 144
parted	parted 17
partially	partially 15
participation	participation 12
particular	particular 289
particularly	particularly 205
particularly _	particularly in 25	particularly if 17	particularly the 14
particularly if	particularly if 17
particularly in	particularly in 25
particularly the	particularly the 14
parties	parties 29
partly	partly 39
partner	partner 63
partners	partners 23
partnership	partnership 12
parts	parts 102
parts _	parts of 51
parts _ _	parts of the 28
parts _ the	parts of the 28
parts of	parts of 51
parts of _	parts of the 28
parts of the	parts of the 28
party	party 92
pas	pas 35
pas _	pas de 28
pas _ _	pas de deux 17
pas _ deux	pas de deux 17
pas de	pas de 28
pas de _	pas de deux 17
pas de deux	pas de deux 17
pass	pass 38
passage	passage 46
passages	passages 19
passed	passed 65
passenger	passenger 35
passengers	passengers 34
passes	passes 15
passing	passing 17
passion	passion 30
passionate	passionate 16
past	past 139
past _	past the 14
past the	past the 14
pasta	pasta 56
pastas	pastas 13
patch	patch 15
path	path 37
patient	patient 18
patients	patients 42
patio	patio 12
pattern	pattern 69
pattern _	pattern of 24
pattern of	pattern of 24
patterns	patterns 43
patterns _	patterns of 12
patterns of	patterns of 12
pause	pause 17
paused	paused 23
pay	pay 172
pay _	pay for 40	pay the 18	pay a 11
pay a	pay a 11
pay for	pay for 40
pay the	pay the 18
paying	paying 26
payment	payment 39
payments	payments 34
peace	peace 26
peas	peas 12
peat	peat 22
pen	pen 25
penalty	penalty 26
pencil	pencil 15
pension	pension 33
pensioners	pensioners 17
people	people 1028
people _	people who 92	people in 49	people to 48	people are 42	people with 42	people and 32	people of 30	people were 24	people have 23	people will 20	people at 18	people like 13	people the 12
people _ _	people in the 20	people who are 15	people who have 11
people _ are	people who are 15
people _ have	people who have 11
people _ the	people in the 20
people and	people and 32
people are	people are 42
people at	people at 18
people have	people have 23
people in	people in 49
people in _	people in the 20
people in the	people in the 20
people like	people like 13
people of	people of 30
people the	people the 12
people to	people to 48
people were	people were 24
people who	people who 92
people who _	people who are 15	people who have 11
people who are	people who are 15
people who have	people who have 11
people will	people will 20
people with	people with 42
per	per 177
per _	per cent 91	per week 23
per _ _	per cent of 28
per _ _ _	per cent of the 14
per _ _ the	per cent of the 14
per _ of	per cent of 28
per _ of _	per cent of the 14
per _ of the	per cent of the 14
per cent	per cent 91
per cent _	per cent of 28
per cent _ _	per cent of the 14
per cent _ the	per cent of the 14
per cent of	per cent of 28
per cent of _	per cent of the 14
per cent of the	per cent of the 14
per week	per week 23
perceive	perceive 17
perceived	perceived 31
perception	perception 75
perception _	perception of 11
perception of	perception of 11
perceptions	perceptions 17
percnt	percnt 13
perfect	perfect 60
perfection	perfection 13
perfectly	perfectly 41
perform	perform 35
performance	performance 82
performances	performances 18
performed	performed 42
performer	performer 12
performers	performers 19
perhaps	perhaps 209
perhaps _	perhaps the 18
perhaps the	perhaps the 18
period	period 187
period _	period of 39	period and 15
period and	period and 15
period of	period of 39
periods	periods 56
periods _	periods of 12
periods of	periods of 12
permanent	permanent 23
permanently	permanently 11
permission	permission 16
permitted	permitted 14
person	person 228
person _	person who 21	person to 15	person is 14
person is	person is 14
person to	person to 15
person who	person who 21
personal	personal 134
personalities	personalities 13
personality	personality 32
personnel	personnel 16
persons	persons 15
perspective	perspective 52
persuade	persuade 17
pest	pest 24
pests	pests 31
petals	petals 20
phase	phase 26
phenomena	phenomena 22
phenomenon	phenomenon 15
philosophical	philosophical 19
philosophy	philosophy 30
phone	phone 43
photo	photo 16
photograph	photograph 25
photographs	photographs 23
photography	photography 11
phrase	phrase 50
phrases	phrases 19
phrasing	phrasing 14
physical	physical 135
physical _	physical and 13
physical and	physical and 13
physically	physically 19
pick	pick 54
pick _	pick up 27
pick up	pick up 27
picked	picked 47
picked _	picked up 25
picked up	picked up 25
picking	picking 17
picture	picture 130
picture _	picture of 22
picture of	picture of 22
pictures	pictures 60
piece	piece 145
piece _	piece of 75
piece of	piece of 75
pieces	pieces 83
pieces _	pieces of 19
pieces of	pieces of 19
pills	pills 12
pilot	pilot 148
pilot _	pilot is 15
pilot is	pilot is 15
pilots	pilots 99
pink	pink 41
pint	pint 29
pint _	pint of 14
pint of	pint of 14
pitch	pitch 13
pity	pity 14
place	place 423
place _	place in 50	place and 23	place for 23	place of 22	place is 14	place where 14	place the 11
place _ _	place in the 25
place _ the	place in the 25
place and	place and 23
place for	place for 23
place in	place in 50
place in _	place in the 25
place in the	place in the 25
place is	place is 14
place of	place of 22
place the	place the 11
place where	place where 14
placed	placed 69
placed _	placed on 13	placed in 11
placed in	placed in 11
placed on	placed on 13
places	places 68
placing	placing 16
plain	plain 18
plan	plan 80
plane	plane 31
planned	planned 23
planning	planning 47
plans	plans 39
plant	plant 83
planted	planted 32
planted _	planted in 11
planted in	planted in 11
planting	planting 30
plants	plants 200
plants _	plants are 12	plants to 11
plants are	plants are 12
plants to	plants to 11
plastic	plastic 42
plate	plate 22
plates	plates 19
platform	platform 20
play	play 149
played	played 83
played _	played a 16
played a	played a 16
player	player 47
players	players 74
playing	playing 83
playing _	playing the 11
playing the	playing the 11
plays	plays 43
pleasant	pleasant 30
please	please 65
pleased	pleased 34
pleased _	pleased to 16
pleased to	pleased to 16
pleasure	pleasure 54
plenty	plenty 62
plenty _	plenty of 54
plenty of	plenty of 54
plot	plot 38
plus	plus 47
pocket	pocket 32
poem	poem 61
poems	poems 24
poet	poet 40
poetry	poetry 77
poets	poets 21
point	point 306
point _	point of 55	point in 23	point is 18	point to 15	point out 12
point _ _	point of view 25
point _ view	point of view 25
point in	point in 23
point is	point is 18
point of	point of 55
point of _	point of view 25
point of view	point of view 25
